Strike,CE_OI,CE_IV,PE_OI,PE_IV
21500,0.0,0.0,1298.0,21.41
21500,8091.0,0.0,30627.0,19.12
21500,0.0,0.0,50.0,17.94
21500,95.0,0.0,7231.0,17.4
21500,0.0,0.0,544.0,16.67
21550,0.0,0.0,1884.0,26.69
21550,0.0,0.0,70.0,20.95
21550,12.0,0.0,156.0,18.99
21550,0.0,0.0,0.0,0.0
21550,0.0,0.0,41.0,17.25
21550,0.0,0.0,0.0,0.0
21600,8.0,57.18,7600.0,26.08
21600,0.0,0.0,303.0,20.58
21600,56.0,0.0,2016.0,18.72
21600,0.0,0.0,0.0,0.0
21600,1.0,19.63,103.0,17.14
21600,0.0,0.0,0.0,0.0
21650,0.0,0.0,2670.0,25.74
21650,0.0,0.0,54.0,20.2
21650,0.0,0.0,368.0,18.57
21650,0.0,0.0,0.0,0.0
21650,0.0,0.0,37.0,17.01
21650,0.0,0.0,0.0,0.0
21700,2.0,0.0,14009.0,25.12
21700,0.0,0.0,154.0,19.86
21700,3.0,0.0,6624.0,18.5
21700,0.0,0.0,0.0,0.0
21700,3.0,14.54,2364.0,16.86
21700,0.0,0.0,0.0,0.0
21750,0.0,0.0,2256.0,24.24
21750,0.0,0.0,54.0,19.47
21750,0.0,0.0,410.0,18.09
21750,0.0,0.0,0.0,0.0
21750,0.0,0.0,62.0,16.84
21750,0.0,0.0,0.0,0.0
21800,4.0,0.0,8298.0,23.88
21800,0.0,0.0,668.0,19.04
21800,0.0,0.0,6444.0,17.87
21800,0.0,0.0,0.0,0.0
21800,2.0,0.0,2804.0,16.66
21800,0.0,0.0,0.0,0.0
21850,0.0,0.0,2231.0,23.14
21850,0.0,0.0,65.0,18.86
21850,14.0,0.0,707.0,17.76
21850,0.0,0.0,0.0,0.0
21850,0.0,0.0,1.0,16.23
21850,0.0,0.0,47.0,0.0
21850,0.0,0.0,0.0,0.0
21900,0.0,0.0,9208.0,22.64
21900,0.0,0.0,317.0,18.48
21900,20.0,0.0,4561.0,17.53
21900,0.0,0.0,0.0,0.0
21900,0.0,0.0,0.0,0.0
21900,0.0,18.7,1509.0,16.49
21900,0.0,0.0,0.0,0.0
21950,0.0,0.0,2792.0,22.66
21950,0.0,0.0,66.0,18.16
21950,6.0,0.0,328.0,17.5
21950,0.0,0.0,0.0,0.0
21950,0.0,0.0,0.0,0.0
21950,0.0,0.0,10.0,0.0
21950,0.0,0.0,1.0,0.0
22000,265.0,0.0,63455.0,21.52
22000,0.0,0.0,3180.0,17.91
22000,11145.0,0.0,42621.0,17.43
22000,0.0,0.0,36.0,17.1
22000,0.0,0.0,3.0,17.06
22000,5655.333333333333,0.0,28823.666666666668,16.43
22000,222.0,0.0,2395.0,16.07
22000,737.0,0.0,8594.666666666666,17.02
22000,0.0,0.0,7.0,17.46
22000,1589.3333333333333,0.0,5350.666666666667,18.61
22000,0.0,0.0,0.0,0.0
22000,0.0,0.0,7.666666666666667,0.0
22000,0.0,0.0,0.0,0.0
22000,0.0,0.0,0.3333333333333333,0.0
22000,0.0,0.0,1.3333333333333333,0.0
22000,0.0,0.0,3.0,0.0
22000,0.0,0.0,0.0,0.0
22000,0.0,0.0,0.0,0.0
22050,13.0,0.0,2270.0,21.1
22050,0.0,0.0,80.0,17.51
22050,5.0,0.0,299.0,17.18
22050,0.0,0.0,0.0,0.0
22050,0.0,0.0,0.0,0.0
22050,0.0,0.0,598.0,16.27
22050,0.0,0.0,0.0,0.0
22100,38.0,0.0,8864.0,20.66
22100,0.0,0.0,535.0,17.3
22100,20.0,0.0,3203.0,16.91
22100,0.0,0.0,12.0,16.46
22100,0.0,0.0,0.0,0.0
22100,0.0,0.0,2098.0,16.27
22100,0.0,0.0,139.0,16.33
22150,3.0,0.0,3280.0,20.12
22150,0.0,0.0,53.0,17.11
22150,0.0,0.0,334.0,16.81
22150,0.0,0.0,2.0,0.0
22150,0.0,0.0,0.0,0.0
22150,0.0,0.0,124.0,16.06
22150,0.0,0.0,0.0,0.0
22200,37.0,35.44,15921.0,20.1
22200,0.0,0.0,1818.0,16.76
22200,109.0,0.0,10393.0,16.58
22200,0.0,0.0,31.0,16.16
22200,0.0,0.0,0.0,0.0
22200,4.0,0.0,2459.0,16.01
22200,0.0,0.0,182.0,16.24
22250,0.0,0.0,2854.0,18.85
22250,0.0,0.0,130.0,16.61
22250,82.0,0.0,873.0,16.47
22250,0.0,0.0,0.0,0.0
22250,0.0,0.0,0.0,0.0
22250,0.0,0.0,37.0,16.51
22250,0.0,0.0,0.0,0.0
22300,17.0,0.0,21211.0,18.44
22300,0.0,0.0,1535.0,16.39
22300,88.0,0.0,5921.0,16.37
22300,0.0,0.0,26.0,15.99
22300,0.0,0.0,5.0,16.42
22300,0.0,0.0,3317.0,15.91
22300,0.0,0.0,269.0,15.75
22350,2.0,0.0,6685.0,18.08
22350,0.0,0.0,204.0,16.32
22350,18.0,0.0,1497.0,16.22
22350,0.0,0.0,0.0,0.0
22350,0.0,0.0,0.0,0.0
22350,0.0,0.0,40.0,15.75
22350,0.0,0.0,0.0,0.0
22400,29.0,0.0,35438.0,18.07
22400,1.0,0.0,1430.0,16.0
22400,308.0,0.0,8213.0,16.07
22400,0.0,0.0,15.0,16.05
22400,0.0,0.0,0.0,0.0
22400,3.0,0.0,2362.0,15.71
22400,0.0,0.0,205.0,15.54
22450,4.0,0.0,6556.0,17.29
22450,0.0,0.0,105.0,15.89
22450,19.0,0.0,1265.0,16.09
22450,0.0,0.0,0.0,0.0
22450,0.0,0.0,0.0,0.0
22450,0.0,0.0,24.0,0.0
22450,0.0,0.0,0.0,0.0
22500,615.0,0.0,91230.0,16.87
22500,20.0,0.0,4906.0,15.75
22500,4496.0,0.0,42450.0,15.75
22500,0.0,0.0,191.0,15.41
22500,0.0,0.0,0.0,0.0
22500,1519.0,5.8,18140.0,15.65
22500,205.0,0.0,1964.0,15.48
22550,8.0,0.0,6947.0,16.23
22550,0.0,0.0,198.0,15.64
22550,41.0,0.0,943.0,15.62
22550,0.0,0.0,0.0,0.0
22550,0.0,0.0,0.0,0.0
22550,0.0,0.0,22.0,15.54
22550,0.0,0.0,0.0,0.0
22600,180.0,0.0,31229.0,15.97
22600,2.0,0.0,1060.0,15.57
22600,330.0,0.0,6445.0,15.4
22600,0.0,0.0,0.0,0.0
22600,0.0,0.0,0.0,0.0
22600,5.0,0.0,2276.0,15.45
22600,0.0,0.0,13.0,15.41
22650,15.0,0.0,10595.0,15.52
22650,0.0,0.0,77.0,15.33
22650,203.0,0.0,1333.0,15.36
22650,0.0,0.0,0.0,0.0
22650,0.0,0.0,0.0,0.0
22650,0.0,0.0,59.0,15.43
22650,0.0,0.0,0.0,0.0
22700,234.0,0.0,60884.0,15.26
22700,7.0,0.0,1612.0,15.25
22700,772.0,0.0,11457.0,15.22
22700,0.0,0.0,49.0,15.25
22700,0.0,0.0,0.0,0.0
22700,33.0,11.84,1987.0,15.37
22700,133.0,0.0,51.0,15.8
22750,73.0,12.79,20820.0,15.02
22750,0.0,0.0,155.0,15.12
22750,123.0,19.88,1348.0,15.11
22750,0.0,0.0,0.0,0.0
22750,0.0,0.0,0.0,0.0
22750,4.0,0.0,36.0,15.33
22750,0.0,0.0,0.0,0.0
22800,649.0,0.0,48673.0,14.89
22800,78.0,0.0,2902.0,15.21
22800,1706.0,0.0,20380.0,14.95
22800,0.0,0.0,11.0,14.69
22800,0.0,0.0,0.0,0.0
22800,273.0,8.4,2923.0,15.28
22800,1.0,0.0,79.0,15.09
22850,89.0,0.0,8502.0,14.8
22850,4.0,0.0,495.0,14.86
22850,206.0,10.37,975.0,14.92
22850,0.0,0.0,0.0,0.0
22850,0.0,0.0,0.0,0.0
22850,1.0,0.0,90.0,15.21
22850,0.0,0.0,0.0,0.0
22900,331.0,0.0,32296.0,14.55
22900,117.0,0.0,2877.0,14.75
22900,2018.0,7.66,12202.0,14.79
22900,0.0,0.0,1.0,14.5
22900,0.0,0.0,0.0,0.0
22900,165.0,5.69,1424.0,15.17
22900,0.0,0.0,2.0,14.46
22950,74.0,0.0,9192.0,14.05
22950,1.0,0.0,601.0,14.68
22950,311.0,0.0,1132.0,14.74
22950,0.0,0.0,0.0,0.0
22950,0.0,0.0,0.0,0.0
22950,7.0,0.0,220.0,15.12
22950,0.0,0.0,0.0,0.0
23000,3289.0,0.0,55155.0,13.98
23000,1180.0,8.36,6038.0,14.51
23000,25461.0,9.74,86856.0,14.7
23000,276.0,13.24,505.0,14.61
23000,0.0,0.0,7.0,15.72
23000,7361.666666666667,10.77,33226.0,15.2
23000,840.0,10.6,1932.0,15.1
23000,3419.6666666666665,7.54,11374.0,15.95
23000,0.0,0.0,203.0,16.89
23000,2472.6666666666665,0.0,8761.333333333334,18.24
23000,0.0,0.0,108.66666666666669,19.12
23000,12.0,0.0,173.0,0.0
23000,0.0,0.0,0.0,0.0
23000,0.0,0.0,26.0,0.0
23000,0.0,0.0,0.0,0.0
23000,0.0,0.0,47.0,21.81
23000,0.0,0.0,0.0,0.0
23000,0.0,0.0,33.0,23.06
23050,171.0,0.0,9814.0,13.88
23050,23.0,0.0,293.0,14.53
23050,396.0,0.0,1481.0,14.58
23050,0.0,0.0,4.0,13.28
23050,0.0,0.0,0.0,0.0
23050,50.0,0.0,137.0,15.07
23050,0.0,0.0,0.0,0.0
23100,988.0,0.0,23358.0,13.62
23100,85.0,9.78,1861.0,14.45
23100,5116.0,10.19,17405.0,14.47
23100,15.0,0.0,1.0,14.56
23100,0.0,0.0,0.0,0.0
23100,385.0,8.56,1117.0,15.0
23100,98.0,9.49,33.0,15.59
23150,497.0,8.77,11498.0,13.51
23150,61.0,10.12,412.0,14.35
23150,594.0,10.57,1573.0,14.44
23150,0.0,0.0,0.0,0.0
23150,0.0,0.0,0.0,0.0
23150,144.0,12.18,169.0,14.98
23150,0.0,0.0,0.0,0.0
23200,2133.0,9.61,52800.0,13.32
23200,540.0,10.54,2384.0,14.53
23200,9646.0,10.47,28956.0,14.43
23200,1.0,14.08,49.0,15.17
23200,0.0,0.0,0.0,0.0
23200,821.0,11.35,2357.0,14.9
23200,62.0,10.91,167.0,14.85
23250,1529.0,10.27,11949.0,13.35
23250,215.0,10.89,880.0,14.47
23250,1074.0,10.71,1781.0,14.32
23250,2.0,10.46,4.0,13.21
